"Visitor arrivals by country of residence and travel mode (Monthly)","","","","","","","","",""
"","Australia","China, People's Republic of","Japan","Korea, Republic of","Germany","United Kingdom","Canada","United States of America","TOTAL ALL COUNTRIES OF RESIDENCE"
" ","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES"
"1996M05",25816,1050,10360,7938,2072,6286,1316,7280,86590
"1996M06",31200,806,8229,7475,1157,5512,1144,9334,87815
"1996M07",30768,896,14864,10224,1344,6144,1568,10848,105712
"1996M08",32000,880,15104,10032,1296,6128,1392,7632,101056
"1996M09",40432,944,11072,6736,2080,5888,1360,7552,100944
"1996M10",34714,1207,9622,10268,4369,10132,2244,14314,121754
"1996M11",35139,1530,13277,14110,7072,16218,3655,15776,149226
"1996M12",58266,2286,20322,16236,7218,21042,3762,15138,208458
"1997M01",37012,2451,14896,16283,6308,20634,3971,14326,155097
"1997M02",36261,1020,17544,9860,7004,24072,3910,17748,166175
"1997M03",41667,1598,15266,12869,4743,15385,3349,15215,149294
"1997M04",32793,1224,12104,8704,3417,9197,2108,10183,112302
"1997M05",27762,1890,9016,7434,2100,6286,1344,7014,87836
"1997M06",29106,1092,7994,6622,896,5460,1120,8890,83482
"1997M07",31994,1020,14705,9690,1394,6970,1598,11594,105910
"1997M08",33168,1136,15136,8784,1648,6656,1680,7856,99216
"1997M09",41119,975,11167,5395,2509,6058,1417,7514,98618
"1997M10",34224,1128,10212,9144,4308,10116,2160,12732,114948
"1997M11",34500,1716,14832,9828,6144,15612,3216,15240,140472
"1997M12",53404,2301,18174,3653,6227,21736,3809,15262,183833
"1998M01",39660,1665,14880,1380,6555,20430,4380,16635,149280
"1998M02",42228,1428,18768,1032,7968,25056,3948,20580,158388
"1998M03",40820,1508,14898,702,5278,14417,3276,18265,130481
"1998M04",45948,1296,9996,1008,2892,10092,2124,12372,115680
"1998M05",30920,1480,7730,790,1370,6340,1260,8920,81350
"1998M06",31437,1161,7848,864,918,5967,1071,9612,80217
"1998M07",39888,1140,13644,1692,1356,7476,1944,11304,106500
"1998M08",36984,960,13536,1368,1368,7104,1680,7512,93672
"1998M09",47028,1116,10032,1056,2028,6672,1272,7908,102540
"1998M10",41041,1235,10283,1482,4381,10218,2340,14885,121862
"1998M11",43823,1456,14937,2457,6877,18148,3731,17355,149422
"1998M12",62115,1965,16425,3855,5490,23370,3990,16995,195120
"1999M01",41920,1552,13696,4592,6720,21824,4688,18544,156400
"1999M02",40976,1664,17693,2834,6968,25584,4381,21892,169117
"1999M03",45955,1300,13741,2899,4485,17719,3809,18681,145444
"1999M04",44304,1560,9893,2223,2210,9724,2015,12753,121628
"1999M05",31680,1950,8540,2060,1350,6940,1380,9050,89780
"1999M06",31988,1727,6776,2508,946,6754,1177,10670,87527
"1999M07",40600,1666,12194,3458,1288,8498,1778,11774,111832
